date,campaign,campaign_type,impressions,clicks,conversions,spend,revenue,channel,quality_score,avg_position,roas
2025-01-01,GA_Search_Brand_US_v2,Search - Brand,46578,574,52.0,522.4,2390.33,Google Ads,6.2,6.3,4.575669984686065
2025-01-02,GA_Search_Brand_US_v2,Search - Brand,9959,486,39.0,630.56,2701.88,Google Ads,4.2,6.55,4.28488962192337
2025-01-03,GA_Search_Brand_US_v2,Search - Brand,22545,615,71.0,623.14,2153.34,Google Ads,6.6,5.87,3.4556279487755566
2025-01-04,GA_Search_Brand_US_v2,Search - Brand,22754,561,56.0,504.07,2081.92,Google Ads,2.6,1.22,4.130220009125717
2025-01-05,GA_Search_Brand_US_v2,Search - Brand,12943,444,36.0,540.34,2247.87,Google Ads,2.8,5.13,4.160102898175222
2025-01-06,GA_Search_Brand_US_v2,Search - Brand,7700,326,48.0,477.52,1812.46,Google Ads,9.3,3.43,3.795568771988608
2025-01-07,GA_Search_Brand_US_v2,Search - Brand,50283,572,65.0,507.02,2048.26,Google Ads,3.2,2.37,4.039801191274506
2025-01-08,GA_Search_Brand_US_v2,Search - Brand,16427,506,51.0,640.05,2799.48,Google Ads,3.8,5.86,4.373845793297399
2025-01-09,GA_Search_Brand_US_v2,Search - Brand,55042,650,60.0,560.28,2442.51,Google Ads,5.9,2.88,4.35944527736132
2025-01-10,GA_Search_Brand_US_v2,Search - Brand,21260,516,71.0,511.57,2257.47,Google Ads,9.1,7.39,4.412827179076177
2025-01-11,GA_Search_Brand_US_v2,Search - Brand,14380,588,87.0,501.81,2291.5,Google Ads,8.0,3.09,4.566469380841355
2025-01-12,GA_Search_Brand_US_v2,Search - Brand,0,0,0.0,0.0,0.0,Google Ads,1.4,4.89,
2025-01-13,GA_Search_Brand_US_v2,Search - Brand,49676,727,76.0,619.4,2526.57,Google Ads,7.2,6.79,4.079060381013885
2025-01-14,GA_Search_Brand_US_v2,Search - Brand,27184,610,51.0,629.88,2495.86,Google Ads,5.5,3.81,3.9624372896424718
2025-01-15,GA_Search_Brand_US_v2,Search - Brand,11731,452,39.0,511.54,2437.71,Google Ads,5.3,6.8,4.765433788169058
2025-01-16,GA_Search_Brand_US_v2,Search - Brand,14655,453,51.0,607.37,2358.78,Google Ads,7.2,6.07,3.883596489783822
2025-01-17,GA_Search_Brand_US_v2,Search - Brand,0,0,0.0,0.0,0.0,Google Ads,2.8,7.45,
2025-01-18,GA_Search_Brand_US_v2,Search - Brand,14071,566,61.0,551.89,2527.26,Google Ads,9.8,3.28,4.5792821033176905
2025-01-19,GA_Search_Brand_US_v2,Search - Brand,9536,337,46.0,490.34,1991.7,Google Ads,6.8,1.74,4.061875433372762
2025-01-20,GA_Search_Brand_US_v2,Search - Brand,21473,678,96.0,631.72,2158.98,Google Ads,4.3,4.01,3.4176217311467103
2025-01-21,GA_Search_Brand_US_v2,Search - Brand,15051,643,70.0,617.64,2098.0,Google Ads,6.4,6.5,3.396800725341623
2025-01-22,GA_Search_Brand_US_v2,Search - Brand,0,0,0.0,0.0,0.0,Google Ads,2.9,4.15,
2025-01-23,GA_Search_Brand_US_v2,Search - Brand,23246,533,77.0,552.36,2148.03,Google Ads,6.7,2.83,3.888822507060613
2025-01-24,GA_Search_Brand_US_v2,Search - Brand,10825,525,77.0,554.13,2179.95,Google Ads,1.3,1.19,3.93400465594716
