date,campaign,campaign_type,impressions,clicks,conversions,spend,revenue,channel,frequency,reach,roas
2025-01-01,Meta_Prospecting_LAL_US_v2,Prospecting,13493,460,11.0,657.8,1653.05,Meta Ads,1.5,47033,2.512997871693524
2025-01-02,Meta_Prospecting_LAL_US_v2,Prospecting,16525,538,15.0,763.24,,Meta Ads,1.12,31456,
2025-01-03,Meta_Prospecting_LAL_US_v2,Prospecting,24228,471,10.0,893.88,1960.13,Meta Ads,7.56,10353,2.192833489953909
2025-01-04,Meta_Prospecting_LAL_US_v2,Prospecting,15691,489,14.0,742.47,1702.69,Meta Ads,2.9,1065,2.2932778428758063
2025-01-05,Meta_Prospecting_LAL_US_v2,Prospecting,15693,632,10.0,753.6,1924.56,Meta Ads,3.66,15301,2.5538216560509555
2025-01-06,Meta_Prospecting_LAL_US_v2,Prospecting,49398,672,19.0,661.26,2164.99,Meta Ads,5.77,18181,3.2740374436681483
2025-01-07,Meta_Prospecting_LAL_US_v2,Prospecting,31974,689,12.0,882.62,2222.37,Meta Ads,2.65,11008,2.517923908363735
2025-01-08,Meta_Prospecting_LAL_US_v2,Prospecting,9405,435,10.0,831.28,2055.92,Meta Ads,6.13,6290,2.4731979597728806
2025-01-09,Meta_Prospecting_LAL_US_v2,Prospecting,11534,494,11.0,948.33,1835.85,Meta Ads,4.21,32474,1.9358767517636264
2025-01-10,Meta_Prospecting_LAL_US_v2,Prospecting,12062,558,7.0,677.16,1283.99,Meta Ads,7.0,1631,1.896139760174848
2025-01-11,Meta_Prospecting_LAL_US_v2,Prospecting,13253,373,10.0,709.4,2000.5,Meta Ads,2.95,29351,2.8199887228643927
2025-01-12,Meta_Prospecting_LAL_US_v2,Prospecting,36484,883,13.0,744.86,2114.81,Meta Ads,2.43,37026,2.839204682759176
2025-01-13,Meta_Prospecting_LAL_US_v2,Prospecting,15768,369,9.0,651.81,1738.22,Meta Ads,6.82,40869,2.6667587180313284
2025-01-14,Meta_Prospecting_LAL_US_v2,Prospecting,35411,975,19.0,863.06,2068.55,Meta Ads,3.28,41201,2.3967626816212086
2025-01-15,Meta_Prospecting_LAL_US_v2,Prospecting,8598,404,4.0,684.21,2049.04,Meta Ads,3.88,9383,2.994753072886979
2025-01-16,Meta_Prospecting_LAL_US_v2,Prospecting,40450,618,13.0,905.64,2123.27,Meta Ads,6.56,36567,2.3444967095092974
2025-01-17,Meta_Prospecting_LAL_US_v2,Prospecting,0,0,0.0,0.0,0.0,Meta Ads,5.45,23109,
2025-01-18,Meta_Prospecting_LAL_US_v2,Prospecting,18653,603,7.0,890.05,1879.27,Meta Ads,4.09,2149,2.1114207067018707
2025-01-19,Meta_Prospecting_LAL_US_v2,Prospecting,20675,997,12.0,886.51,1729.31,Meta Ads,2.75,20387,1.9506942956086226
2025-01-20,Meta_Prospecting_LAL_US_v2,Prospecting,23750,445,12.0,836.32,2138.78,Meta Ads,6.35,37313,2.557370384541802
2025-01-21,Meta_Prospecting_LAL_US_v2,Prospecting,24374,352,5.0,658.58,1861.32,Meta Ads,2.26,46399,2.826262564912387
2025-01-22,Meta_Prospecting_LAL_US_v2,Prospecting,47110,504,11.0,799.94,1983.44,Meta Ads,7.5,1019,2.4794859614471085
2025-01-23,Meta_Prospecting_LAL_US_v2,Prospecting,8734,433,10.0,741.6,1980.6,Meta Ads,2.05,29276,2.670711974110032
2025-01-24,Meta_Prospecting_LAL_US_v2,Prospecting,25149,746,13.0,770.95,1750.38,Meta Ads,6.63,42392,2.270419612166807
2025-01-25,Meta_Prospecting_LAL_US_v2,Prospecting,21077,736,11.0,708.74,1655.15,Meta Ads,3.97,1999,2.3353415921212295
2025-01-26,Meta_Prospecting_LAL_US_v2,Prospecting,41124,979,14.0,904.45,2182.6,Meta Ads,2.3,3534,2.413179280225551
2025-01-27,Meta_Prospecting_LAL_US_v2,Prospecting,12778,558,11.0,843.56,1753.21,Meta Ads,3.82,29538,2.0783465313670635
2025-01-28,Meta_Prospecting_LAL_US_v2,Prospecting,28782,875,9.0,863.34,1717.22,Meta Ads,2.55,5425,1.9890425556559408
2025-01-29,Meta_Prospecting_LAL_US_v2,Prospecting,26431,545,6.0,662.93,1902.3,Meta Ads,1.95,19074,2.869533736593607
2025-01-30,Meta_Prospecting_LAL_US_v2,Prospecting,36620,909,23.0,858.5,1899.17,Meta Ads,2.67,41242,2.2121956901572513
2025-01-31,Meta_Prospecting_LAL_US_v2,Prospecting,60790,1012,20.0,857.4,2100.72,Meta Ads,7.07,7328,2.450104968509447
2025-02-01,Meta_Prospecting_LAL_US_v2,Prospecting,47323,728,10.0,950.39,2212.04,Meta Ads,1.74,9526,2.3275076547522597
2025-02-02,Meta_Prospecting_LAL_US_v2,Prospecting,17451,494,4.0,832.3,1775.32,Meta Ads,7.81,3553,2.133028955905323
2025-02-03,Meta_Prospecting_LAL_US_v2,Prospecting,38549,885,22.0,842.42,1899.86,Meta Ads,1.03,19894,2.255240853730918
2025-02-04,Meta_Prospecting_LAL_US_v2,Prospecting,24042,452,6.0,683.12,1966.3,Meta Ads,5.61,39820,2.87841082093922
2025-02-05,Meta_Prospecting_LAL_US_v2,Prospecting,45642,822,21.0,833.24,2000.16,Meta Ads,7.0,40906,2.400460851615381
2025-02-06,Meta_Prospecting_LAL_US_v2,Prospecting,15300,688,11.0,742.93,1680.36,Meta Ads,7.54,11242,2.261801246416217
2025-02-07,Meta_Prospecting_LAL_US_v2,Prospecting,17547,465,6.0,805.77,2174.31,Meta Ads,2.01,44676,2.698425108902044
2025-02-08,Meta_Prospecting_LAL_US_v2,Prospecting,17555,494,14.0,821.78,2029.56,Meta Ads,5.89,15275,2.469712088393487
2025-02-09,Meta_Prospecting_LAL_US_v2,Prospecting,17907,395,10.0,685.05,1909.63,Meta Ads,1.75,10748,2.7875775490840087
2025-02-10,Meta_Prospecting_LAL_US_v2,Prospecting,32069,892,25.0,803.42,2194.42,Meta Ads,3.47,40911,2.7313484852256606
2025-02-11,Meta_Prospecting_LAL_US_v2,Prospecting,22965,895,24.0,855.76,2379.19,Meta Ads,6.12,44305,2.7802070674020753
2025-02-12,Meta_Prospecting_LAL_US_v2,Prospecting,26292,727,13.0,908.67,2021.45,Meta Ads,3.42,11357,2.224625001375637
2025-02-13,Meta_Prospecting_LAL_US_v2,Prospecting,12939,477,12.0,797.73,1937.99,Meta Ads,3.19,26364,2.429380868213556
2025-02-14,Meta_Prospecting_LAL_US_v2,Prospecting,21530,625,11.0,897.11,1923.92,Meta Ads,1.81,49836,2.1445753586516703
2025-02-15,Meta_Prospecting_LAL_US_v2,Prospecting,52563,789,15.0,731.34,2218.55,Meta Ads,1.47,8370,3.033541171001176
2025-02-16,Meta_Prospecting_LAL_US_v2,Prospecting,14156,456,12.0,718.4,2086.14,Meta Ads,1.81,20490,2.903869710467706
2025-02-17,Meta_Prospecting_LAL_US_v2,Prospecting,14492,665,15.0,788.04,2043.86,Meta Ads,7.13,31749,2.593599309679712
