date,campaign,campaign_type,impressions,clicks,conversions,spend,revenue,channel,bid_strategy,roas
2025-01-01,MS_Search_Brand_US_v1,Search - Brand,8550,335,43.0,194.38,931.5,Microsoft Ads,MaxConv,4.792159687210619
2025-01-02,MS_Search_Brand_US_v1,Search - Brand,0,0,0.0,0.0,0.0,Microsoft Ads,TargetCPA,
2025-01-03,MS_Search_Brand_US_v1,Search - Brand,6288,265,35.0,191.19,853.3,Microsoft Ads,MaxConv,4.463099534494482
2025-01-04,MS_Search_Brand_US_v1,Search - Brand,2958,140,14.0,166.89,881.66,Microsoft Ads,MaxConv,5.282880939541015
2025-01-05,MS_Search_Brand_US_v1,Search - Brand,12157,287,23.0,238.18,820.89,Microsoft Ads,MaxClicks,3.4465110420690235
2025-01-06,MS_Search_Brand_US_v1,Search - Brand,3655,155,17.0,168.29,743.61,Microsoft Ads,MaxClicks,4.418622615722859
2025-01-07,MS_Search_Brand_US_v1,Search - Brand,14742,183,20.0,170.86,809.46,Microsoft Ads,MaxConv,4.737562917008076
2025-01-08,MS_Search_Brand_US_v1,Search - Brand,4561,158,11.0,164.96,775.87,Microsoft Ads,MaxClicks,4.7033826382153245
2025-01-09,MS_Search_Brand_US_v1,Search - Brand,3845,174,18.0,174.7,766.1,Microsoft Ads,TargetCPA,4.3852318259874075
2025-01-10,MS_Search_Brand_US_v1,Search - Brand,4891,204,20.0,212.15,846.07,Microsoft Ads,TargetCPA,3.988074475606882
2025-01-11,MS_Search_Brand_US_v1,Search - Brand,6297,226,17.0,164.05,908.64,Microsoft Ads,MaxConv,5.5387991466016455
2025-01-12,MS_Search_Brand_US_v1,Search - Brand,24714,372,40.0,197.73,1043.57,Microsoft Ads,MaxConv,5.277752490770242
2025-01-13,MS_Search_Brand_US_v1,Search - Brand,6687,333,29.0,234.35,923.49,Microsoft Ads,TargetCPA,3.940644335395776
2025-01-14,MS_Search_Brand_US_v1,Search - Brand,5938,240,23.0,172.0,768.91,Microsoft Ads,MaxConv,4.470406976744186
2025-01-15,MS_Search_Brand_US_v1,Search - Brand,12932,287,30.0,236.44,817.91,Microsoft Ads,MaxConv,3.459270850955845
2025-01-16,MS_Search_Brand_US_v1,Search - Brand,10871,249,28.0,173.14,864.03,Microsoft Ads,MaxClicks,4.990354626313966
2025-01-17,MS_Search_Brand_US_v1,Search - Brand,5201,179,18.0,200.5,1008.06,Microsoft Ads,MaxClicks,5.027730673316708
2025-01-18,MS_Search_Brand_US_v1,Search - Brand,16679,373,35.0,229.15,808.41,Microsoft Ads,TargetCPA,3.5278638446432464
2025-01-19,MS_Search_Brand_US_v1,Search - Brand,7030,214,18.0,238.91,1148.52,Microsoft Ads,TargetCPA,4.8073333054288225
2025-01-20,MS_Search_Brand_US_v1,Search - Brand,6242,174,23.0,181.68,912.87,Microsoft Ads,TargetCPA,5.024603698811096
2025-01-21,MS_Search_Brand_US_v1,Search - Brand,8870,249,22.0,172.69,800.53,Microsoft Ads,TargetCPA,4.63564769239678
2025-01-22,MS_Search_Brand_US_v1,Search - Brand,12789,228,21.0,226.32,912.44,Microsoft Ads,TargetCPA,4.031636620714034
2025-01-23,MS_Search_Brand_US_v1,Search - Brand,15312,202,15.0,187.08,862.32,Microsoft Ads,MaxClicks,4.609364977549712
2025-01-24,MS_Search_Brand_US_v1,Search - Brand,18431,188,19.0,170.36,894.8,Microsoft Ads,MaxConv,5.252406668231979
2025-01-25,MS_Search_Brand_US_v1,Search - Brand,9677,235,27.0,188.09,841.5,Microsoft Ads,TargetCPA,4.473922058588974
2025-01-26,MS_Search_Brand_US_v1,Search - Brand,8258,255,24.0,217.24,897.76,Microsoft Ads,TargetCPA,4.132572270300129
2025-01-27,MS_Search_Brand_US_v1,Search - Brand,5003,221,30.0,208.28,804.55,Microsoft Ads,MaxClicks,3.8628288841943537
2025-01-28,MS_Search_Brand_US_v1,Search - Brand,7225,215,16.0,220.66,858.69,Microsoft Ads,MaxClicks,3.891461977703254
2025-01-29,MS_Search_Brand_US_v1,Search - Brand,16320,355,42.0,189.67,893.6,Microsoft Ads,MaxClicks,4.711340749723204
2025-01-30,MS_Search_Brand_US_v1,Search - Brand,9333,332,28.0,238.07,832.19,Microsoft Ads,MaxClicks,3.4955685302642086
2025-01-31,MS_Search_Brand_US_v1,Search - Brand,7442,272,29.0,181.82,978.1,Microsoft Ads,MaxConv,5.37949620503795
2025-02-01,MS_Search_Brand_US_v1,Search - Brand,10698,296,38.0,235.35,979.9,Microsoft Ads,MaxConv,4.163586148289781
2025-02-02,MS_Search_Brand_US_v1,Search - Brand,7619,298,31.0,170.41,711.56,Microsoft Ads,MaxClicks,4.1755765506719085
